,,,,,,SOLUTION SCOPE,,,,,,USER EXPERIENCE DATA,,,,,,,,,,,,,,,,,,,,,BUSINESS IMPACT DATA,,,,,,,,,,,,,,,,,,,,,ADDITIONAL DATA,,,,,,,,,PORTFOLIO REVIEW,,,
PATO,Ask People,"With many portals and slack channels, Nubankers lacked a trustworthy place to open inquiries, creating an ambient of non official replies and lack of data follow up.","ASK People is a single Jira portal which enables Nubankers to open tickets with inquiries about many subjects, receiving official answers approved by specific teams and aligned with their areas. Within this solution we can use ticket data for analysis, process creation and improvements.",NO,Daniele Nascimento,3. Mature,All Nubankers,N/A,All,N/A,Jira,CSat,97%,96%,96%,,,,,,,,,,,Jira,Automated,,,,Daily,Dashboard,Deflection,85%,91%,93%,93%,91%,90%,91%,89%,,,,,,Jira,Automated,,,,Daily,Dashboard,Ticket recontact; Cost per ticket; Cost avoided; SLA,0,19008,0,0,0,19008,10.00,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PATO,Qualtrics,"Run internal surveys, such as Engagement Pulse, in a easy and acessible way",Qualtrics is web based platform that allows us to create surveys and generate reports,NO,Renata Chizzola,2. Growth,P&C: PATO,N/A,(3) Perform my role,N/A,Qualtrics,% Dashboard Exploration Rate,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Qualtrics,Automated,,,,Semiannualy,Qualtrics,% Active Users,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Qualtrics,Automated,,,,Semiannualy,Qualtrics and Visier,No sucess metrics are tracked,0,120,0,0,0,120,0.06,TRUE,Room for improvement,Room for improvement,Already Reviewed,Already Reviewed
PATO,Visier,"- Quick and easy access to information about our workforce
 - Analyze key data, including people's demographics, terminations, tenure, and much more
- Data Transparency
- Data hub for P&C data for all nubankers","Software with a interactive interface that allows Nubankers, managers, P&C employees to analyse data and geneate insights",NO,Renata Chizzola,2. Growth,People Manager - All,"P&C: All, All Nubankers",(3) Perform my role,N/A,Visier,Task Success Rate ,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Survey,Automated,,,,Semiannualy,Sheets,Active unique users,1160,1354,1222,1123,1415,1247,1513,2531,,,,,,Visier,Automated,,,,Monthly,Dashboard,Time spent in the tool; Content visited,0,5200,40,0,40,5280,2.78,FALSE,Room for improvement,Room for improvement,Already Reviewed,Already Reviewed
PATO,Data Platform,"Enable analysts to capture, combine, interconnect, explore, and visualize data from multiple sources, and therefore extract insights from employee journey data as an input for business decisions.","An analytics data platform is an ecosystem of technologies and services needed to analyze large amounts of complex and dynamic data. It enables you to capture, combine, interconnect, explore, and visualize data from multiple sources.",NO,Vanessa Huang,2. Growth,P&C: PATO,P&C: All,(3) Perform my role,N/A,"Big Query, Itaipeople",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,Nr of crashes (when big query is overloaded),TBD,-,-,,,,,,,,,,,API Google,Automated,,,,On demand,Alerts on slack,N/A,0,4608,0,0,0,4608,2.43,TRUE,Room for improvement,Room for improvement,Already Reviewed,Already Reviewed
PATO,Oracle,"Inneficient, meaning decentralized and mostly manual, core HR information management","Cloud-based HRIS which serves as an unified platform that integrates essential HR systems and processes, providing a single source of truth for HR-related information",NO,Ariel César Vicente,3. Mature,All Nubankers,N/A,(3) Perform my role,N/A,Oracle,Number of support tickets,TBD,-,-,,,,,,,,,,,Jira,Manual,Low Effort,Low tracking frequency,,Quarterly,Sheets,"Average time spent completing tasks in the system, considering both internal user flows (referred to as admins) and regular Nubankers",TBD,-,-,,,,,,,,,,,Oracle,Manual,Medium Effort,The way the data is collected today doesn't support automated extraction,Extract data from OGL (specific tool in Oracle) and add it to a database in Sheets ,Monthly,Sheets,Time to approval of flows that require validation of multiple teams,0,2080,0,0,26,2106,1.11,TRUE,Room for improvement,Room for improvement,Already Reviewed,Already Reviewed
PATO,Cronut,"Nuvinho without information, support or not fulfilling critical tasks in their first 90 days","Interface that allows organized and planned communication with nuvinhos, managers and colleagues via Slack in the onboarding process",NO,Ariel César Vicente,2. Growth,New Hires,People Manager - All,(2) Start and adapt,N/A,Google Sheets; Slack,Sean Ellis score,40%,-,-,,,,,,,,,,,Google Forms,Manual,,,,On demand,Sheets,Number of support request tickets,TBD,,,,,,,,,,,,,Jira,Automated,,,,Monthly,Sheets,N/A,208,104,0,0,0,312,0.16,TRUE,Room for improvement,Room for improvement,Already Reviewed,Already Reviewed
PATO,PADT Intake Process,Ongoing demands arriving for PADT without organization or pattern through multiple channels and teams and getting lost,Unified channel via Jira for requesting and tracking demands for PADT,NO,Ariel César Vicente,3. Mature,P&C: All,All Nubankers,(3) Perform my role,N/A,Jira,Task completion confidence rating,TBD,-,-,,,,,,,,,,,Jira,Automated,,,,Quarterly,Sheets,Percentage of tickets that are problematic (incomplete or incorrectly allocated).,TBD,,,,,,,,,,,,,Jira,Automated,,,,Monthly,Sheets,CES,0,78,0,0,0,78,0.04,TRUE,Room for improvement,Room for improvement,Already Reviewed,Already Reviewed
PATO,Offboarding self-service,Lack of clarity of the next steps during the offboarding journey.,"Nubankers request their voluntary resignation via Oracle through a guided journey uploading their resignation letter and filling the exit interview. After approval, there's Offboarding Journey Guides via Google Sites for voluntary and involuntary process. Only available in Brazil",NO,Marcus Lucarello,2. Growth,Ex-Nubankers,"People Manager - All, P&C: PATO, All Nubankers",(6) Resign or get terminated,N/A,"Oracle, Google Sites",Effort score,5.5,-,6.7,6.6,6.3,,,,,,,,,Oracle (OGL),Manual,Low Effort,The way the data is collected today doesn't support automated extraction,"I need to go to the OGL dashboards page and extract the resignation survey data for the selected period. Once I've done that, I'll receive the data in my email and send it to the Pdata team",Monthly,WIP Dashboard,Reduction in the Number of Support Tickets about Voluntary Termination,10%,-,-,-,71%,100%,39%,33%,,,,,,Ask People,Automated,,,,Monthly,WIP Dashboard,% of errors and reworks on the resignation letter,0,208,0,0,0,208,0.11,TRUE,Room for improvement,Adjusted,Already Reviewed,Already Reviewed
PATO,Onboarding journey,"Operational inefficiencies in sending documentation by email and inserting hiring data manual, generating inconsistencies in Nubankers' registration information",The Oracle Onboarding journey is the module where Nuvinhos himself fills in the admission data and uploads the documents that allow him to start working at Nubank,YES,Luciene Carneiro,3. Mature,New Hires,"All Nubankers, P&C: All",(2) Start and adapt,N/A,Oracle,% of users who complete the onboarding journey correctly without assistance,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jira AskPeople and admission control spreadsheet,Manual,Low Effort,"We are working on this automation, but there are many different rules and backgrounds",Extract the tickets  data from Jira and cross-reference it with the hiring volume in that window,Monthly,Sheets,% Data Compliance Rate (GH x Oracle x ADP),100%,100%,100%,,,,,,,,,,,Oracle x GH x ADP,Manual,Medium Effort,"We are working on this automation, but there are many different rules and backgrounds",Extract ticket data from Oracle x ADP x GH and validate data between systems,Monthly,Sheets,N/A,48,2304,96,48,96,2592,1.36,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PATO,Leaves & Vacation module,"Previously, direct leaders faced challenges in monitoring and managing sick leave and vacation processes due to difficulty accessing the existing system. This lack of visibility and control led to process execution failures, delays, and communication gaps","The implementation of Oracle's Leave and Absence Module streamlines requests for Nubankers, automates approvals, and integrates data with payroll, ensuring transparency and efficiency.",YES,Luciene Carneiro,3. Mature,All Nubankers,All Nubankers,(3) Perform my role,(5) Interrupt and get back to work,Oracle,% Vacation schedule the correct channel,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Oracle,Manual,Low Effort,The automation is under development,Extracting and consolidating Oracle report data,Monthly,Sheets,% of Data Compliance Rate between Systems (Oracle x ADP),100%,100%,100%,,,,,,,,,,,Oracle x ADP,Manual,Medium Effort,The automation is under development,Extracting and consolidating Oracle report data,Monthly,Sheets,N/A,0,1536,0,96,48,1680,0.88,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PATO,Time management,"Operational inefficiencies in working day management, due to lack of integration between the working day management system and payroll, leave the process subject to errors in the execution of Nubanker payments","The Nubankers work schedule management system to record and track working hours, overtime or lost hours, thus facilitating the management of the process and integrating the information with the payroll.",YES,Luciene Carneiro,2. Growth,Nubankers: Ops,"Individual Contributor - IC4- , People Manager - M1/M2",(3) Perform my role,N/A,Oitchau,# Opened AskPeople Ticket,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Jira,Automated,,,,Monthly,Dashboard,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,N/A,0,3072,0,96,96,3264,1.72,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PATO,Payroll management,"Ensuring compliance with local rules and regulations, providing accuracy in payroll calculation, processing and payment, freeing up time and resources.","Payroll processing, tax filing, accounting and compliance to ensure accurate and legal payroll management.",YES,Nelson Choueri,3. Mature,All Nubankers,N/A,(3) Perform my role,N/A,"ADP, TMF, JA Del Rio",Payroll Tickets Volume,TBD,"SLA: 93%
CSAT: 100%","SLA: 90%
CSAT: 100%",,,,,,,,,,,Jira,Automated,,,,Monthly,Dashboard,Payroll Accuracy,99%,98.2%,97.5%,99.0%,99.7%,99.5%,97.8%,N/A,N/A,N/A,N/A,N/A,N/A,Payroll ,Manual,Low Effort,The way the data is collected today doesn't support automated extraction,"Payroll closing, data collection, consolidation",Monthly,Sheets,Payroll timeliness / Compliance,0,3456,0,0,168,3624,1.91,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PATO,Contracts management,Electronic signature of employment documents under People Ops scope of services.,"Ensure the basics right for employees, through signed documents with their proper effective addendum clauses, terminations letter and TAE  according to the legal requirements applicable per each location.",YES,Nelson Choueri,1. Development,All Nubankers,N/A,(2) Start and adapt,N/A,"NetLex, Docusign",Usage of Alternate Methods Rate,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,"Docusign, Netlex, Google sheets",Manual,Medium Effort,The way the data is collected today doesn't support automated extraction,,Monthly,Sheets,% of Automation in Employment Document Process,TBD,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Google sheets,Manual,Medium Effort,The way the data is collected today doesn't support automated extraction,"Data collection, update on automation control, claculation of the metric.",Monthly,Sheets,Automation rate (People Ops),0,1152,0,0,0,1152,0.61,TRUE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,Mandatory Training Solution,"Non-compliance with regulatory and operational requirements affects Nubank's ability to maintain its license to operate in the countries where we have operations, leading to potential operational, financial, regulatory or/and reputational risks.","The Mandatory Training Solution is a compliance automation system that enables Nubank to ensure regulatory and operational adherence by centralizing training access, sending notifications, and tracking completion automatically.",YES,Liliane Takemoto,3. Mature,All Nubankers,People Manager - All,(3) Perform my role,(2) Start and adapt,LearnUpon,# Opened AskPeople Ticket related to MT (below is better),57,42,68,17,13,16,12,13,11,,,,,Jira,Manual,,,,Monthly,Google Sheet,"Overall On time Completion Rate: Of all enrollments that were due this month, how many were completed on time?",80%,74.1%,82.9%,70.7%,72.7%,63.2%,79.8%,85.1%,78.8%,,,,,LearnUpon,Automated,,,,Daily,Dashboard,"> Monthly Issues in MT configuration;
> Recurrent Issues in Configuration;
> % of Data Monitored in Learnupon
> CSat AskPeople;
> SLA AskPeople;",760,20,0,0,0,780,0.41,TRUE,Room for improvement,Adjusted,Already Reviewed,Already Reviewed
PJC,Culture Talks,"Reduced engagement among Nubankers with 3 to 5 years of tenure affects the decreased cultural alignment, risking diminished satisfaction and productivity.","Culture Talks is a virtual or in-person session that enhances understanding and practice of Nubank's Values, conducted by M-Team members or Culture Amplifiers. It aims to cultivate new Culture role models and customizes the audience based on tenure, level, and area",NO,Leo Assarito,1. Development,All Nubankers,N/A,(3) Perform my role,(2) Start and adapt,Training/Development Session In-Person ; Zoom,Sean Ellis,80,N/A,N/A,N/A,N/A,N/A,,,,,,,,Google Forms,Manual,Medium Effort,"The product is new and once it's on the PMF phase, we did not prioritize the automation until we're certain of its PMF",Create a Google Forms > Sent to the participants > Collect the metric > make a formula on Google Sheets to extract the metrics per session,Per Session Delivered,Google Sheet,Culture Score,80%,81,81,81,81,N/A,N/A,N/A,N/A,,,,,Qualtrics,Automated,,,,N/A,N/A,N/A,300,0,0,0,0,300,0.16,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,Purple Side of the Moon,"Lack of a go-to innovation product at Nubank hinders the ability of teams to turn challenges into opportunities, affecting all employees and their alignment with company values, especially during solution-oriented projects.",The Purple Side of the Moon is an in-person collaborative event that facilitates the development of innovative solutions aligned with Nubank's core values to address the edition's key challenge.,NO,Pedro Reis,1. Development,All Nubankers,N/A,(3) Perform my role,(4) Develop myself and grow,Forms,NPS,80,N/A,N/A,N/A,N/A,N/A,,,,,,,,Voting Comitee,Manual,Low Effort,Low tracking frequency,,Per Session Delivered,Internal Sheet,Ideas implemented,50%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Google Forms,Manual,Low Effort,,,N/A,N/A,NPS,150,0,0,0,30,180,0.09,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,UP for first milestone managers,"The lack of clarity in the manager's role at Nubank affects recently hired and newly promoted managers on the first levels of management, leading to less effective people management.","The Up Program is a development program that enables first-level managers to lead teams with confidence by providing tools and training on team development, feedback, difficult conversations, and people management processes",NO,Adriane Moreira,3. Mature,People Manager - M1/M2,Individual Contributor - IC5/IC6,(2) Start and adapt,(3) Perform my role,Zoom,CSAT,90,N/A,N/A,94,94,100,100,N/A,,,,,,Zoom poll,Manual,Low Effort,The way the data is collected today doesn't support automated extraction,Build the zoom poll / extract the data from zoom / upload it to an internal sheet,Per Session Delivered,Internal Sheet,Increase in management skills proficiency in perf cycle,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Qulture.Rocks,Manual,Medium Effort,Low tracking frequency,Download the QR base / extract the data from management box / data analysis,Quarterly,Internal sheets,Engagement Pulse question: “My manager provides me with timely and helpful feedback”,380,,,,,380,0.20,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,Just Do It Awards,"Lack of awareness and recognition of Nubank's values in strategic projects results in decreased alignment with company culture, affecting all employees and diminishing the impact of these values in daily operations.",Just Do It Awards is a recognition program that celebrates outstanding projects across the company by honoring the application of Nubank's values.,NO,Leo Assarito,3. Mature,All Nubankers,N/A,(3) Perform my role,N/A,Forms,Culture Recognition ,80,81,81,81,81,81,81,N/A,N/A,N/A,N/A,N/A,,Google Forms,Manual,,,,Per Session Delivered,Internal Sheet,Number of cases application,22,55,55,55,55,55,55,N/A,N/A,N/A,N/A,N/A,,Google Forms,Manual,Low Effort,Low tracking frequency,,Per Session Delivered,N/A,NPS | Sean Ellis ,403,0,0,0,170,573,0.30,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,Onboarding,"Inadequate preparation for new hires to sit in the purple chair during onboarding leads to poor adherence to company values, increasing the risk of frustration and premature dismissals, impacting new employees' ability to thrive in their roles.","Onboarding Program is a comprehensive experience platform that helps new members integrate seamlessly into the organization by providing training, communications, virtual sessions, and asynchronous content.",NO,Manuela Prado,3. Mature,New Hires,"N/A, New Hires",(2) Start and adapt,(5) Interrupt and get back to work,Zoom + Nucleo,NPS,80,88,98,93,93,95,95,98,,,,,,Google Forms,Automated,,,,Monthly,Dashboard,Rehire Favorability,90,98,97,93,N/A,N/A,N/A,,,,,,,Google Forms,Automated,,,,Monthly,Dashboard,CSat | Rehire Favourability | Values Question,960,150,300,212,190,1812,0.95,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
PJC,Internship Development Program,"The lack of skills and knowledge affects interns in their early career development, leading to potential challenges in performance, adaptability and development.",The Internship Development Program is a development pathway that enables Nubies upskilling by providing specific training based on their career moment.,NO,Yago Guimarães,3. Mature,Intern,N/A,(2) Start and adapt,(3) Perform my role,Zoom + Nucleo,NPS,90,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,Google Forms,Manual,Low Effort,Low tracking frequency,"Build forms, ask for feedback and extract the results",Per Session Delivered,Internal Sheet,Probability of intern conversion (Perf. Cycle question),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Performance data,Manual,Low Effort,Low tracking frequency,"Request data to Performance Team, process data, generate report",Semiannually,Internal sheets,N/A,40,,,,,40,0.02,FALSE,Adjusted,Adjusted,Already Reviewed,Already Reviewed
